Id,Name,Category,Brand,Description,Price,Url
1,產品1,電子產品,品牌A,這是產品1的描述,19.99,https://www.test.com.tw/1
2,產品2,服裝,品牌B,這是產品2的描述,29.99,https://www.test.com.tw/2
3,產品3,家電,品牌C,這是產品3的描述,39.99,https://www.test.com.tw/3
4,產品4,書籍,品牌D,這是產品4的描述,9.99,https://www.test.com.tw/4
5,產品5,玩具,品牌E,這是產品5的描述,14.99,https://www.test.com.tw/5
6,產品6,電子產品,品牌A,這是產品6的描述,49.99,https://www.test.com.tw/6
7,產品7,服裝,品牌B,這是產品7的描述,59.99,https://www.test.com.tw/7
8,產品8,家電,品牌C,這是產品8的描述,69.99,https://www.test.com.tw/8
9,產品9,書籍,品牌D,這是產品9的描述,19.99,https://www.test.com.tw/9
10,產品10,玩具,品牌E,這是產品10的描述,24.99,https://www.test.com.tw/10
11,產品11,電子產品,品牌A,這是產品11的描述,79.99,https://www.test.com.tw/11
12,產品12,服裝,品牌B,這是產品12的描述,89.99,https://www.test.com.tw/12
13,產品13,家電,品牌C,這是產品13的描述,99.99,https://www.test.com.tw/13
14,產品14,書籍,品牌D,這是產品14的描述,29.99,https://www.test.com.tw/14
15,產品15,玩具,品牌E,這是產品15的描述,34.99,https://www.test.com.tw/15
16,產品16,電子產品,品牌A,這是產品16的描述,109.99,https://www.test.com.tw/16
17,產品17,服裝,品牌B,這是產品17的描述,119.99,https://www.test.com.tw/17
18,產品18,家電,品牌C,這是產品18的描述,129.99,https://www.test.com.tw/18
19,產品19,書籍,品牌D,這是產品19的描述,39.99,https://www.test.com.tw/19
20,產品20,玩具,品牌E,這是產品20的描述,44.99,https://www.test.com.tw/20
21,產品21,電子產品,品牌A,這是產品21的描述,149.99,https://www.test.com.tw/21
22,產品22,服裝,品牌B,這是產品22的描述,159.99,https://www.test.com.tw/22
23,產品23,家電,品牌C,這是產品23的描述,169.99,https://www.test.com.tw/23
24,產品24,書籍,品牌D,這是產品24的描述,49.99,https://www.test.com.tw/24
25,產品25,玩具,品牌E,這是產品25的描述,54.99,https://www.test.com.tw/25
26,產品26,電子產品,品牌A,這是產品26的描述,189.99,https://www.test.com.tw/26
27,產品27,服裝,品牌B,這是產品27的描述,199.99,https://www.test.com.tw/27
28,產品28,家電,品牌C,這是產品28的描述,209.99,https://www.test.com.tw/28
29,產品29,書籍,品牌D,這是產品29的描述,59.99,https://www.test.com.tw/29
30,產品30,玩具,品牌E,這是產品30的描述,64.99,https://www.test.com.tw/30
31,產品31,電子產品,品牌A,這是產品31的描述,229.99,https://www.test.com.tw/31
32,產品32,服裝,品牌B,這是產品32的描述,239.99,https://www.test.com.tw/32
33,產品33,家電,品牌C,這是產品33的描述,249.99,https://www.test.com.tw/33
34,產品34,書籍,品牌D,這是產品34的描述,69.99,https://www.test.com.tw/34
35,產品35,玩具,品牌E,這是產品35的描述,74.99,https://www.test.com.tw/35
36,產品36,電子產品,品牌A,這是產品36的描述,269.99,https://www.test.com.tw/36
37,產品37,服裝,品牌B,這是產品37的描述,279.99,https://www.test.com.tw/37
38,產品38,家電,品牌C,這是產品38的描述,289.99,https://www.test.com.tw/38
39,產品39,書籍,品牌D,這是產品39的描述,79.99,https://www.test.com.tw/39
40,產品40,玩具,品牌E,這是產品40的描述,84.99,https://www.test.com.tw/40
41,產品41,電子產品,品牌A,這是產品41的描述,309.99,https://www.test.com.tw/41
42,產品42,服裝,品牌B,這是產品42的描述,319.99,https://www.test.com.tw/42
43,產品43,家電,品牌C,這是產品43的描述,329.99,https://www.test.com.tw/43
44,產品44,書籍,品牌D,這是產品44的描述,89.99,https://www.test.com.tw/44
45,產品45,玩具,品牌E,這是產品45的描述,94.99,https://www.test.com.tw/45
46,產品46,電子產品,品牌A,這是產品46的描述,349.99,https://www.test.com.tw/46
47,產品47,服裝,品牌B,這是產品47的描述,359.99,https://www.test.com.tw/47
48,產品48,家電,品牌C,這是產品48的描述,369.99,https://www.test.com.tw/48
49,產品49,書籍,品牌D,這是產品49的描述,99.99,https://www.test.com.tw/49
50,產品50,玩具,品牌E,這是產品50的描述,104.99,https://www.test.com.tw/50
51,產品51,電子產品,品牌A,這是產品51的描述,389.99,https://www.test.com.tw/51
52,產品52,服裝,品牌B,這是產品52的描述,399.99,https://www.test.com.tw/52
53,產品53,家電,品牌C,這是產品53的描述,409.99,https://www.test.com.tw/53
54,產品54,書籍,品牌D,這是產品54的描述,109.99,https://www.test.com.tw/54
55,產品55,玩具,品牌E,這是產品55的描述,114.99,https://www.test.com.tw/55
56,產品56,電子產品,品牌A,這是產品56的描述,429.99,https://www.test.com.tw/56
57,產品57,服裝,品牌B,這是產品57的描述,439.99,https://www.test.com.tw/57
58,產品58,家電,品牌C,這是產品58的描述,449.99,https://www.test.com.tw/58
59,產品59,書籍,品牌D,這是產品59的描述,119.99,https://www.test.com.tw/59
60,產品60,玩具,品牌E,這是產品60的描述,124.99,https://www.test.com.tw/60
61,產品61,電子產品,品牌A,這是產品61的描述,469.99,https://www.test.com.tw/61
62,產品62,服裝,品牌B,這是產品62的描述,479.99,https://www.test.com.tw/62
63,產品63,家電,品牌C,這是產品63的描述,489.99,https://www.test.com.tw/63
64,產品64,書籍,品牌D,這是產品64的描述,129.99,https://www.test.com.tw/64
65,產品65,玩具,品牌E,這是產品65的描述,134.99,https://www.test.com.tw/65
66,產品66,電子產品,品牌A,這是產品66的描述,509.99,https://www.test.com.tw/66
67,產品67,服裝,品牌B,這是產品67的描述,519.99,https://www.test.com.tw/67
68,產品68,家電,品牌C,這是產品68的描述,529.99,https://www.test.com.tw/68
69,產品69,書籍,品牌D,這是產品69的描述,139.99,https://www.test.com.tw/69
70,產品70,玩具,品牌E,這是產品70的描述,144.99,https://www.test.com.tw/70
71,產品71,電子產品,品牌A,這是產品71的描述,549.99,https://www.test.com.tw/71
72,產品72,服裝,品牌B,這是產品72的描述,559.99,https://www.test.com.tw/72
73,產品73,家電,品牌C,這是產品73的描述,569.99,https://www.test.com.tw/73
74,產品74,書籍,品牌D,這是產品74的描述,149.99,https://www.test.com.tw/74
75,產品75,玩具,品牌E,這是產品75的描述,154.99,https://www.test.com.tw/75
76,產品76,電子產品,品牌A,這是產品76的描述,589.99,https://www.test.com.tw/76
77,產品77,服裝,品牌B,這是產品77的描述,599.99,https://www.test.com.tw/77
78,產品78,家電,品牌C,這是產品78的描述,609.99,https://www.test.com.tw/78
79,產品79,書籍,品牌D,這是產品79的描述,159.99,https://www.test.com.tw/79
80,產品80,玩具,品牌E,這是產品80的描述,164.99,https://www.test.com.tw/80
81,產品81,電子產品,品牌A,這是產品81的描述,629.99,https://www.test.com.tw/81
82,產品82,服裝,品牌B,這是產品82的描述,639.99,https://www.test.com.tw/82
83,產品83,家電,品牌C,這是產品83的描述,649.99,https://www.test.com.tw/83
84,產品84,書籍,品牌D,這是產品84的描述,169.99,https://www.test.com.tw/84
85,產品85,玩具,品牌E,這是產品85的描述,174.99,https://www.test.com.tw/85
86,產品86,電子產品,品牌A,這是產品86的描述,669.99,https://www.test.com.tw/86
87,產品87,服裝,品牌B,這是產品87的描述,679.99,https://www.test.com.tw/87
88,產品88,家電,品牌C,這是產品88的描述,689.99,https://www.test.com.tw/88
89,產品89,書籍,品牌D,這是產品89的描述,179.99,https://www.test.com.tw/89
90,產品90,玩具,品牌E,這是產品90的描述,184.99,https://www.test.com.tw/90
91,產品91,電子產品,品牌A,這是產品91的描述,709.99,https://www.test.com.tw/91
92,產品92,服裝,品牌B,這是產品92的描述,719.99,https://www.test.com.tw/92
93,產品93,家電,品牌C,這是產品93的描述,729.99,https://www.test.com.tw/93
94,產品94,書籍,品牌D,這是產品94的描述,189.99,https://www.test.com.tw/94
95,產品95,玩具,品牌E,這是產品95的描述,194.99,https://www.test.com.tw/95
96,產品96,電子產品,品牌A,這是產品96的描述,749.99,https://www.test.com.tw/96
97,產品97,服裝,品牌B,這是產品97的描述,759.99,https://www.test.com.tw/97
98,產品98,家電,品牌C,這是產品98的描述,769.99,https://www.test.com.tw/98
99,iPhone 15,電子商品,Apple,這是iPhone 15的描述,30.000,https://example.com/iPhone15
100,Galaxy S24,電子商品,Samsung,這是Galaxy S24的描述,28.000,https://example.com/GalaxyS24